subtype,species_latin_name,species_common_name,species_description,SD_prompt
podargiformes,Batrachostomus chaseni,Palawan Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Palawan Frogmouth (Batrachostomus chaseni): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus javensis,Javan Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Javan Frogmouth (Batrachostomus javensis): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus moniliger,Sri Lanka Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Sri Lanka Frogmouth (Batrachostomus moniliger): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus stellatus,Gould's Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Gould's Frogmouth (Batrachostomus stellatus): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus cornutus,Sunda Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Sunda Frogmouth (Batrachostomus cornutus): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus septimus,Philippine Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Philippine Frogmouth (Batrachostomus septimus): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus poliolophus,Sumatran Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Sumatran Frogmouth (Batrachostomus poliolophus): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus hodgsoni,Hodgson's Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Hodgson's Frogmouth (Batrachostomus hodgsoni): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus poliolophus,Short-tailed Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Short-tailed Frogmouth (Batrachostomus poliolophus): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus interpositus,Long-tailed Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Long-tailed Frogmouth (Batrachostomus interpositus): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus affinis,Blyth's Frogmouth," Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Blyth's Frogmouth (Batrachostomus affinis): Medium-sized bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus salvadorii,Salvadori's Frogmouth," Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak.","A photograph of a Salvadori's Frogmouth (Batrachostomus salvadorii): Large bird with dark brown plumage, streaked with white. Large yellow eyes and wide, heavy beak."
podargiformes,Batrachostomus pygmaeus,Wallace's Frogmouth," Small bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak.","A photograph of a Wallace's Frogmouth (Batrachostomus pygmaeus): Small bird with dark brown plumage, mottled with white and rufous. Large yellow eyes and wide, heavy beak."
aegotheliformes,Aegotheles cristatus,Australian Owlet-nightjar," Small, grey-brown bird with white spots and streaks. Large eyes and small beak. ","A photograph of a Australian Owlet-nightjar (Aegotheles cristatus): Small, grey-brown bird with white spots and streaks. Large eyes and small beak. "
aegotheliformes,Aegotheles bennettii,Barred Owlet-nightjar," Small, brown bird with white bars. Large eyes and small beak. ","A photograph of a Barred Owlet-nightjar (Aegotheles bennettii): Small, brown bird with white bars. Large eyes and small beak. "
aegotheliformes,Aegotheles insignis,Feline Owlet-nightjar," Small, dark brown bird with white spots. Large eyes and small beak. ","A photograph of a Feline Owlet-nightjar (Aegotheles insignis): Small, dark brown bird with white spots. Large eyes and small beak. "
aegotheliformes,Aegotheles crinifrons,Moluccan Owlet-nightjar," Small, grey-brown bird with white streaks. Large eyes and small beak. ","A photograph of a Moluccan Owlet-nightjar (Aegotheles crinifrons): Small, grey-brown bird with white streaks. Large eyes and small beak. "
aegotheliformes,Aegotheles albertisi,Mountain Owlet-nightjar," Small, brown bird with white spots. Large eyes and small beak. ","A photograph of a Mountain Owlet-nightjar (Aegotheles albertisi): Small, brown bird with white spots. Large eyes and small beak. "
aegotheliformes,Aegotheles savesi,New Caledonian Owlet-nightjar," Small, grey-brown bird with white streaks. Large eyes and small beak. ","A photograph of a New Caledonian Owlet-nightjar (Aegotheles savesi): Small, grey-brown bird with white streaks. Large eyes and small beak. "
aegotheliformes,Aegotheles novaezealandiae,New Guinea Owlet-nightjar," Small, brown bird with white spots. Large eyes and small beak. ","A photograph of a New Guinea Owlet-nightjar (Aegotheles novaezealandiae): Small, brown bird with white spots. Large eyes and small beak. "
aegotheliformes,Aegotheles tatei,Satin Owlet-nightjar," Small, dark brown bird with white spots. Large eyes and small beak. ","A photograph of a Satin Owlet-nightjar (Aegotheles tatei): Small, dark brown bird with white spots. Large eyes and small beak. "
aegotheliformes,Aegotheles tatei,Spangled Owlet-nightjar," Small, brown bird with white spots. Large eyes and small beak. ","A photograph of a Spangled Owlet-nightjar (Aegotheles tatei): Small, brown bird with white spots. Large eyes and small beak. "
aegotheliformes,Aegotheles wallacii,Wallace's Owlet-nightjar," Small, grey-brown bird with white streaks. Large eyes and small beak.","A photograph of a Wallace's Owlet-nightjar (Aegotheles wallacii): Small, grey-brown bird with white streaks. Large eyes and small beak."
apodiformes,Archilochus colubris,Ruby-throated Hummingbird," Small bird with iridescent green upperparts, white underparts, and a brilliant red throat.","A photograph of a Ruby-throated Hummingbird (Archilochus colubris): Small bird with iridescent green upperparts, white underparts, and a brilliant red throat."
apodiformes,Calypte anna,Anna's Hummingbird," Medium-sized hummingbird with a rose-pink throat and crown, and green back.","A photograph of a Anna's Hummingbird (Calypte anna): Medium-sized hummingbird with a rose-pink throat and crown, and green back."
apodiformes,Selasphorus rufus,Rufous Hummingbird, Small hummingbird with a bright orange-red body and iridescent green wings.,A photograph of a Rufous Hummingbird (Selasphorus rufus): Small hummingbird with a bright orange-red body and iridescent green wings.
apodiformes,Apus apus,Common Swift," Medium-sized bird with a dark brown body, long, scythe-like wings and a short, forked tail.","A photograph of a Common Swift (Apus apus): Medium-sized bird with a dark brown body, long, scythe-like wings and a short, forked tail."
apodiformes,Tachymarptis melba,Alpine Swift," Large swift with a dark brown body, white belly, and a short, forked tail.","A photograph of a Alpine Swift (Tachymarptis melba): Large swift with a dark brown body, white belly, and a short, forked tail."
apodiformes,Aeronautes saxatalis,White-throated Swift," Medium-sized swift with a black body, white throat and belly, and long, pointed wings.","A photograph of a White-throated Swift (Aeronautes saxatalis): Medium-sized swift with a black body, white throat and belly, and long, pointed wings."
apodiformes,Chaetura pelagica,Chimney Swift," Small swift with a cigar-shaped body, long, pointed wings, and a short, square tail.","A photograph of a Chimney Swift (Chaetura pelagica): Small swift with a cigar-shaped body, long, pointed wings, and a short, square tail."
apodiformes,Streptoprocne zonaris,White-collared Swift," Large swift with a dark body, white collar, and long, pointed wings.","A photograph of a White-collared Swift (Streptoprocne zonaris): Large swift with a dark body, white collar, and long, pointed wings."
apodiformes,Calypte costae,Costa's Hummingbird," Small hummingbird with a purple cap and throat, and green back.","A photograph of a Costa's Hummingbird (Calypte costae): Small hummingbird with a purple cap and throat, and green back."
apodiformes,Cypseloides niger,Black Swift," Medium-sized swift with a dark body, short, square tail, and long, pointed wings.","A photograph of a Black Swift (Cypseloides niger): Medium-sized swift with a dark body, short, square tail, and long, pointed wings."
apodiformes,Patagona gigas,Giant Hummingbird," Largest hummingbird species with a brown body, long, pointed wings, and a long, straight bill.","A photograph of a Giant Hummingbird (Patagona gigas): Largest hummingbird species with a brown body, long, pointed wings, and a long, straight bill."
apodiformes,Ensifera ensifera,Sword-billed Hummingbird," Medium-sized hummingbird with a long, straight bill, green upperparts, and white underparts.","A photograph of a Sword-billed Hummingbird (Ensifera ensifera): Medium-sized hummingbird with a long, straight bill, green upperparts, and white underparts."
apodiformes,Florisuga mellivora,White-necked Jacobin," Medium-sized hummingbird with a blue head, white belly, and green back.","A photograph of a White-necked Jacobin (Florisuga mellivora): Medium-sized hummingbird with a blue head, white belly, and green back."
apodiformes,Hylocharis eliciae,Blue-throated Goldentail," Small hummingbird with a blue throat, green upperparts, and white underparts.","A photograph of a Blue-throated Goldentail (Hylocharis eliciae): Small hummingbird with a blue throat, green upperparts, and white underparts."
apodiformes,Lampornis calolaemus,Purple-throated Mountain-gem," Small hummingbird with a purple throat, green upperparts, and white underparts.","A photograph of a Purple-throated Mountain-gem (Lampornis calolaemus): Small hummingbird with a purple throat, green upperparts, and white underparts."
apodiformes,Phaethornis guy,Green Hermit," Medium-sized hummingbird with a long, curved bill, green upperparts, and white underparts.","A photograph of a Green Hermit (Phaethornis guy): Medium-sized hummingbird with a long, curved bill, green upperparts, and white underparts."
apodiformes,Aglaiocercus kingii,Long-tailed Sylph," Small hummingbird with a long, blue tail, green upperparts, and white underparts.","A photograph of a Long-tailed Sylph (Aglaiocercus kingii): Small hummingbird with a long, blue tail, green upperparts, and white underparts."
apodiformes,Campylopterus hemileucurus,Violet Sabrewing," Large hummingbird with a violet body, long, curved bill, and white underparts.","A photograph of a Violet Sabrewing (Campylopterus hemileucurus): Large hummingbird with a violet body, long, curved bill, and white underparts."
apodiformes,Loddigesia mirabilis,Marvellous Spatuletail," Small hummingbird with a long, spatula-shaped tail, green upperparts, and white underparts.","A photograph of a Marvellous Spatuletail (Loddigesia mirabilis): Small hummingbird with a long, spatula-shaped tail, green upperparts, and white underparts."
apodiformes,Amazilia franciae,Andean Emerald," Medium-sized hummingbird with a green body, white belly, and blue tail.","A photograph of a Andean Emerald (Amazilia franciae): Medium-sized hummingbird with a green body, white belly, and blue tail."
musophagiformes,Corythaeola cristata,Great Blue Turaco," Large bird with bright blue body, yellow bill, and a prominent blue crest.","A photograph of a Great Blue Turaco (Corythaeola cristata): Large bird with bright blue body, yellow bill, and a prominent blue crest."
musophagiformes,Tauraco macrorhynchus,Yellow-billed Turaco," Green bird with a yellow bill, red eye-ring, and a red crest.","A photograph of a Yellow-billed Turaco (Tauraco macrorhynchus): Green bird with a yellow bill, red eye-ring, and a red crest."
musophagiformes,Tauraco leucolophus,White-crested Turaco," Green bird with a white crest, red eye-ring, and a yellow bill.","A photograph of a White-crested Turaco (Tauraco leucolophus): Green bird with a white crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco erythrolophus,Red-crested Turaco," Green bird with a red crest, red eye-ring, and a yellow bill.","A photograph of a Red-crested Turaco (Tauraco erythrolophus): Green bird with a red crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco persa,Guinea Turaco," Green bird with a red crest, red eye-ring, and a yellow bill.","A photograph of a Guinea Turaco (Tauraco persa): Green bird with a red crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco schalowi,Schalow's Turaco," Green bird with a white crest, red eye-ring, and a yellow bill.","A photograph of a Schalow's Turaco (Tauraco schalowi): Green bird with a white crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco corythaix,Knysna Turaco," Green bird with a blue crest, red eye-ring, and a yellow bill.","A photograph of a Knysna Turaco (Tauraco corythaix): Green bird with a blue crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco livingstonii,Livingstone's Turaco," Green bird with a blue crest, red eye-ring, and a yellow bill.","A photograph of a Livingstone's Turaco (Tauraco livingstonii): Green bird with a blue crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco fischeri,Fischer's Turaco," Green bird with a blue crest, red eye-ring, and a yellow bill.","A photograph of a Fischer's Turaco (Tauraco fischeri): Green bird with a blue crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco hartlaubi,Hartlaub's Turaco," Green bird with a blue crest, red eye-ring, and a yellow bill.","A photograph of a Hartlaub's Turaco (Tauraco hartlaubi): Green bird with a blue crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco porphyreolophus,Purple-crested Turaco," Green bird with a purple crest, red eye-ring, and a yellow bill.","A photograph of a Purple-crested Turaco (Tauraco porphyreolophus): Green bird with a purple crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco bannermani,Bannerman's Turaco," Green bird with a blue crest, red eye-ring, and a yellow bill.","A photograph of a Bannerman's Turaco (Tauraco bannermani): Green bird with a blue crest, red eye-ring, and a yellow bill."
musophagiformes,Tauraco leucotis,White-cheeked Turaco," Green bird with a white cheek, red eye-ring, and a yellow bill.","A photograph of a White-cheeked Turaco (Tauraco leucotis): Green bird with a white cheek, red eye-ring, and a yellow bill."
musophagiformes,Tauraco ruspolii,Prince Ruspoli's Turaco," Green bird with a blue crest, red eye-ring, and a yellow bill.","A photograph of a Prince Ruspoli's Turaco (Tauraco ruspolii): Green bird with a blue crest, red eye-ring, and a yellow bill."
musophagiformes,Musophaga violacea,Violet Turaco," Large bird with a violet body, yellow bill, and a prominent red crest.","A photograph of a Violet Turaco (Musophaga violacea): Large bird with a violet body, yellow bill, and a prominent red crest."
musophagiformes,Musophaga rossae,Ross's Turaco," Large bird with a blue body, yellow bill, and a prominent red crest.","A photograph of a Ross's Turaco (Musophaga rossae): Large bird with a blue body, yellow bill, and a prominent red crest."
musophagiformes,Crinifer piscator,Western Plantain-eater," Large grey bird with a long tail, yellow bill, and a small crest.","A photograph of a Western Plantain-eater (Crinifer piscator): Large grey bird with a long tail, yellow bill, and a small crest."
musophagiformes,Crinifer zonurus,Eastern Plantain-eater," Large grey bird with a long tail, yellow bill, and a small crest.","A photograph of a Eastern Plantain-eater (Crinifer zonurus): Large grey bird with a long tail, yellow bill, and a small crest."
musophagiformes,Corythaixoides personatus,Bare-faced Go-away-bird," Grey bird with a crest, black bill, and a bare face.","A photograph of a Bare-faced Go-away-bird (Corythaixoides personatus): Grey bird with a crest, black bill, and a bare face."
musophagiformes,Corythaixoides concolor,Grey Go-away-bird," Grey bird with a crest, black bill, and a white eye-ring.","A photograph of a Grey Go-away-bird (Corythaixoides concolor): Grey bird with a crest, black bill, and a white eye-ring."
otidiformes,Tetrax tetrax,Little Bustard," Small, pale brown bird with black and white underparts and a black neck stripe.","A photograph of a Little Bustard (Tetrax tetrax): Small, pale brown bird with black and white underparts and a black neck stripe."
otidiformes,Otis tarda,Great Bustard," Large, heavy bird with a greyish-brown body, white underparts, and a grey head.","A photograph of a Great Bustard (Otis tarda): Large, heavy bird with a greyish-brown body, white underparts, and a grey head."
otidiformes,Ardeotis kori,Kori Bustard," Big, greyish-brown bird with a black crest, white underparts, and a black and white neck.","A photograph of a Kori Bustard (Ardeotis kori): Big, greyish-brown bird with a black crest, white underparts, and a black and white neck."
otidiformes,Ardeotis arabs,Arabian Bustard," Large, pale grey bird with a black crest, white underparts, and a black and white neck.","A photograph of a Arabian Bustard (Ardeotis arabs): Large, pale grey bird with a black crest, white underparts, and a black and white neck."
otidiformes,Houbaropsis bengalensis,Bengal Florican," Small, black bird with white wings, a white rump, and a black crest.","A photograph of a Bengal Florican (Houbaropsis bengalensis): Small, black bird with white wings, a white rump, and a black crest."
otidiformes,Sypheotides indicus,Lesser Florican," Small, black bird with white underparts, a white rump, and a black crest.","A photograph of a Lesser Florican (Sypheotides indicus): Small, black bird with white underparts, a white rump, and a black crest."
otidiformes,Neotis ludwigii,Ludwig's Bustard," Medium-sized, grey bird with a black and white neck, white underparts, and a black crest.","A photograph of a Ludwig's Bustard (Neotis ludwigii): Medium-sized, grey bird with a black and white neck, white underparts, and a black crest."
otidiformes,Neotis denhami,Denham's Bustard," Large, grey bird with a black and white neck, white underparts, and a black crest.","A photograph of a Denham's Bustard (Neotis denhami): Large, grey bird with a black and white neck, white underparts, and a black crest."
otidiformes,Neotis heuglinii,Heuglin's Bustard," Medium-sized, brown bird with a black and white neck, white underparts, and a black crest.","A photograph of a Heuglin's Bustard (Neotis heuglinii): Medium-sized, brown bird with a black and white neck, white underparts, and a black crest."
otidiformes,Neotis nuba,Nubian Bustard," Medium-sized, brown bird with a black and white neck, white underparts, and a black crest.","A photograph of a Nubian Bustard (Neotis nuba): Medium-sized, brown bird with a black and white neck, white underparts, and a black crest."
otidiformes,Eupodotis senegalensis,White-bellied Bustard," Small, grey bird with a white belly, black and white neck, and a black crest.","A photograph of a White-bellied Bustard (Eupodotis senegalensis): Small, grey bird with a white belly, black and white neck, and a black crest."
otidiformes,Eupodotis caerulescens,Blue Korhaan," Medium-sized, blue-grey bird with a black and white neck, white underparts, and a black crest.","A photograph of a Blue Korhaan (Eupodotis caerulescens): Medium-sized, blue-grey bird with a black and white neck, white underparts, and a black crest."
otidiformes,Eupodotis vigorsii,Karoo Korhaan," Medium-sized, brown bird with a black and white neck, white underparts, and a black crest.","A photograph of a Karoo Korhaan (Eupodotis vigorsii): Medium-sized, brown bird with a black and white neck, white underparts, and a black crest."
otidiformes,Eupodotis rueppellii,Rüppell's Korhaan," Small, grey bird with a black and white neck, white underparts, and a black crest.","A photograph of a Rüppell's Korhaan (Eupodotis rueppellii): Small, grey bird with a black and white neck, white underparts, and a black crest."
otidiformes,Lissotis melanogaster,Black-bellied Bustard," Medium-sized, brown bird with a black belly, black and white neck, and a black crest.","A photograph of a Black-bellied Bustard (Lissotis melanogaster): Medium-sized, brown bird with a black belly, black and white neck, and a black crest."
otidiformes,Lissotis hartlaubii,Hartlaub's Bustard," Medium-sized, brown bird with a black and white neck, white underparts, and a black crest.","A photograph of a Hartlaub's Bustard (Lissotis hartlaubii): Medium-sized, brown bird with a black and white neck, white underparts, and a black crest."
otidiformes,Lophotis ruficrista,Red-crested Korhaan," Small, brown bird with a red crest, black and white neck, and white underparts.","A photograph of a Red-crested Korhaan (Lophotis ruficrista): Small, brown bird with a red crest, black and white neck, and white underparts."
otidiformes,Lophotis gindiana,Buff-crested Bustard," Small, brown bird with a buff crest, black and white neck, and white underparts.","A photograph of a Buff-crested Bustard (Lophotis gindiana): Small, brown bird with a buff crest, black and white neck, and white underparts."
otidiformes,Lophotis savilei,Savile's Bustard," Small, brown bird with a black and white neck, white underparts, and a black crest.","A photograph of a Savile's Bustard (Lophotis savilei): Small, brown bird with a black and white neck, white underparts, and a black crest."
otidiformes,Afrotis afra,Black Korhaan," Medium-sized, black bird with a white belly, black and white neck, and a black crest.","A photograph of a Black Korhaan (Afrotis afra): Medium-sized, black bird with a white belly, black and white neck, and a black crest."
cuculiformes,Cuculus canorus,Common Cuckoo," Greyish with a sleek body, long tail, and pointed wings. Males have a blue-grey metallic sheen.","A photograph of a Common Cuckoo (Cuculus canorus): Greyish with a sleek body, long tail, and pointed wings. Males have a blue-grey metallic sheen."
cuculiformes,Coccyzus americanus,Yellow-billed Cuckoo," Brown above, white below, with a long tail featuring white spots.","A photograph of a Yellow-billed Cuckoo (Coccyzus americanus): Brown above, white below, with a long tail featuring white spots."
cuculiformes,Geococcyx californianus,Greater Roadrunner," Large, ground-dwelling bird with a long tail and a crest, brown-black with white streaks.","A photograph of a Greater Roadrunner (Geococcyx californianus): Large, ground-dwelling bird with a long tail and a crest, brown-black with white streaks."
cuculiformes,Coccyzus erythropthalmus,Black-billed Cuckoo," Slim, long-tailed bird with black bill, dark eyes, and a red orbital ring.","A photograph of a Black-billed Cuckoo (Coccyzus erythropthalmus): Slim, long-tailed bird with black bill, dark eyes, and a red orbital ring."
cuculiformes,Scythrops novaehollandiae,Channel-billed Cuckoo," Large, pale grey cuckoo with a long, down-curved, pale yellow bill.","A photograph of a Channel-billed Cuckoo (Scythrops novaehollandiae): Large, pale grey cuckoo with a long, down-curved, pale yellow bill."
cuculiformes,Dromococcyx phasianellus,Pheasant Cuckoo," Long-tailed, ground-dwelling bird with a barred tail and a white belly.","A photograph of a Pheasant Cuckoo (Dromococcyx phasianellus): Long-tailed, ground-dwelling bird with a barred tail and a white belly."
cuculiformes,Eudynamys scolopaceus,Asian Koel," Large cuckoo, males are glossy bluish-black, females brownish with white spots.","A photograph of a Asian Koel (Eudynamys scolopaceus): Large cuckoo, males are glossy bluish-black, females brownish with white spots."
cuculiformes,Centropus bengalensis,Lesser Coucal," Blackish with a long tail, chestnut wings, and a deep call.","A photograph of a Lesser Coucal (Centropus bengalensis): Blackish with a long tail, chestnut wings, and a deep call."
cuculiformes,Phaenicophaeus tristis,Green-billed Malkoha," Large, long-tailed bird with green bill, dark eyes, and a white belly.","A photograph of a Green-billed Malkoha (Phaenicophaeus tristis): Large, long-tailed bird with green bill, dark eyes, and a white belly."
cuculiformes,Clamator jacobinus,Pied Cuckoo, Black and white bird with a long tail and a strong bill.,A photograph of a Pied Cuckoo (Clamator jacobinus): Black and white bird with a long tail and a strong bill.
cuculiformes,Centropus toulou,Madagascar Coucal," Large, dark cuckoo with a long tail, black above, and cinnamon below.","A photograph of a Madagascar Coucal (Centropus toulou): Large, dark cuckoo with a long tail, black above, and cinnamon below."
cuculiformes,Centropus sinensis,Greater Coucal," Large, blackish cuckoo with a long tail, chestnut wings, and red eyes.","A photograph of a Greater Coucal (Centropus sinensis): Large, blackish cuckoo with a long tail, chestnut wings, and red eyes."
cuculiformes,Piaya cayana,Squirrel Cuckoo," Large, long-tailed bird with a red bill, dark eyes, and a white belly.","A photograph of a Squirrel Cuckoo (Piaya cayana): Large, long-tailed bird with a red bill, dark eyes, and a white belly."
cuculiformes,Guira guira,Guira Cuckoo," Medium-sized, scruffy-looking bird with a shaggy crest and a long, white-tipped tail.","A photograph of a Guira Cuckoo (Guira guira): Medium-sized, scruffy-looking bird with a shaggy crest and a long, white-tipped tail."
cuculiformes,Chrysococcyx minutillus,Little Bronze Cuckoo," Small cuckoo, greenish-bronze above, white below, with a barred tail.","A photograph of a Little Bronze Cuckoo (Chrysococcyx minutillus): Small cuckoo, greenish-bronze above, white below, with a barred tail."
cuculiformes,Chrysococcyx cupreus,African Emerald Cuckoo," Small, bright green cuckoo with a yellowish belly and a dark eye stripe.","A photograph of a African Emerald Cuckoo (Chrysococcyx cupreus): Small, bright green cuckoo with a yellowish belly and a dark eye stripe."
cuculiformes,Cuculus saturatus,Oriental Cuckoo," Medium-sized cuckoo, greyish above, white below, with a long, downward-curving bill.","A photograph of a Oriental Cuckoo (Cuculus saturatus): Medium-sized cuckoo, greyish above, white below, with a long, downward-curving bill."
cuculiformes,Clamator coromandus,Chestnut-winged Cuckoo," Large cuckoo, blackish with chestnut wings and a strong bill.","A photograph of a Chestnut-winged Cuckoo (Clamator coromandus): Large cuckoo, blackish with chestnut wings and a strong bill."
cuculiformes,Coccyzus melacoryphus,Dark-billed Cuckoo," Slim, long-tailed bird with a dark bill, dark eyes, and a white belly.","A photograph of a Dark-billed Cuckoo (Coccyzus melacoryphus): Slim, long-tailed bird with a dark bill, dark eyes, and a white belly."
cuculiformes,Cuculus pallidus,Pallid Cuckoo," Large, slim cuckoo, greyish with a long tail and a strong bill.","A photograph of a Pallid Cuckoo (Cuculus pallidus): Large, slim cuckoo, greyish with a long tail and a strong bill."
mesitornithiformes,Monias benschi,Subdesert Mesite," It has a long, thin beak, grey-brown plumage, and a white belly. The eyes are surrounded by a white ring.","A photograph of a Subdesert Mesite (Monias benschi): It has a long, thin beak, grey-brown plumage, and a white belly. The eyes are surrounded by a white ring."
mesitornithiformes,Mesitornis unicolor,Brown Mesite," This bird has a brown body, a long tail, and a short, pointed beak. Its eyes are yellow.","A photograph of a Brown Mesite (Mesitornis unicolor): This bird has a brown body, a long tail, and a short, pointed beak. Its eyes are yellow."
mesitornithiformes,Mesitornis variegata,White-breasted Mesite," It has a white breast, brown wings, and a long tail. The eyes are surrounded by a white ring.","A photograph of a White-breasted Mesite (Mesitornis variegata): It has a white breast, brown wings, and a long tail. The eyes are surrounded by a white ring."
pterocliformes,Merops nubicus,Northern Carmine Bee-eater," Bright crimson body, blue rump, and greenish-blue head and neck.","A photograph of a Northern Carmine Bee-eater (Merops nubicus): Bright crimson body, blue rump, and greenish-blue head and neck."
pterocliformes,Merops persicus,Blue-cheeked Bee-eater," Green body with blue cheeks and throat, black eye stripe.","A photograph of a Blue-cheeked Bee-eater (Merops persicus): Green body with blue cheeks and throat, black eye stripe."
pterocliformes,Merops apiaster,European Bee-eater," Multicolored with green, yellow, blue, brown, and black feathers.","A photograph of a European Bee-eater (Merops apiaster): Multicolored with green, yellow, blue, brown, and black feathers."
pterocliformes,Merops bullockoides,White-fronted Bee-eater," Green body, white forehead, red throat, and black mask.","A photograph of a White-fronted Bee-eater (Merops bullockoides): Green body, white forehead, red throat, and black mask."
pterocliformes,Merops bulocki,Red-throated Bee-eater," Green body with a bright red throat, blue tail, and black eye stripe.","A photograph of a Red-throated Bee-eater (Merops bulocki): Green body with a bright red throat, blue tail, and black eye stripe."
pterocliformes,Merops albicollis,White-throated Bee-eater, Green body with a white throat and blue tail.,A photograph of a White-throated Bee-eater (Merops albicollis): Green body with a white throat and blue tail.
pterocliformes,Merops orientalis,Green Bee-eater, Bright green body with a blue throat and black eye stripe.,A photograph of a Green Bee-eater (Merops orientalis): Bright green body with a blue throat and black eye stripe.
pterocliformes,Merops variegatus,Blue-breasted Bee-eater," Green body with a blue breast, black eye stripe, and yellow throat.","A photograph of a Blue-breasted Bee-eater (Merops variegatus): Green body with a blue breast, black eye stripe, and yellow throat."
pterocliformes,Merops hirundineus,Swallow-tailed Bee-eater," Green body with a blue throat and chest, black eye stripe, and forked tail.","A photograph of a Swallow-tailed Bee-eater (Merops hirundineus): Green body with a blue throat and chest, black eye stripe, and forked tail."
pterocliformes,Merops pusillus,Little Bee-eater," Green body with a yellow throat, black eye stripe, and blue tail.","A photograph of a Little Bee-eater (Merops pusillus): Green body with a yellow throat, black eye stripe, and blue tail."
pterocliformes,Merops oreobates,Cinnamon-chested Bee-eater, Green body with a cinnamon-colored chest and black eye stripe.,A photograph of a Cinnamon-chested Bee-eater (Merops oreobates): Green body with a cinnamon-colored chest and black eye stripe.
pterocliformes,Merops gularis,Black Bee-eater," Black body with a blue rump and tail, and yellow and red throat.","A photograph of a Black Bee-eater (Merops gularis): Black body with a blue rump and tail, and yellow and red throat."
pterocliformes,Merops muelleri,Blue-headed Bee-eater," Green body with a blue head, black eye stripe, and yellow throat.","A photograph of a Blue-headed Bee-eater (Merops muelleri): Green body with a blue head, black eye stripe, and yellow throat."
pterocliformes,Merops superciliosus,Madagascar Bee-eater," Green body with a blue throat, black eye stripe, and yellow belly.","A photograph of a Madagascar Bee-eater (Merops superciliosus): Green body with a blue throat, black eye stripe, and yellow belly."
pterocliformes,Merops superciliosus,Olive Bee-eater, Olive green body with a blue throat and black eye stripe.,A photograph of a Olive Bee-eater (Merops superciliosus): Olive green body with a blue throat and black eye stripe.
pterocliformes,Merops revoilii,Somali Bee-eater," Green body with a blue throat, black eye stripe, and yellow belly.","A photograph of a Somali Bee-eater (Merops revoilii): Green body with a blue throat, black eye stripe, and yellow belly."
pterocliformes,Merops boehmi,Böhm's Bee-eater," Green body with a blue throat and chest, black eye stripe, and yellow belly.","A photograph of a Böhm's Bee-eater (Merops boehmi): Green body with a blue throat and chest, black eye stripe, and yellow belly."
